serviceProviderId,role,userId,operationTime,phoneNumber,appointmentWayType,subjects,active
549963652,appointmentsHairDresser,549963652,"[{""day"":""Friday"",""hours"":[{""startHour"":""1:34"",""endHour"":""14:48""},{""startHour"":""4:09"",""endHour"":""20:43""}]}]",0504699596,Fault,"[""החלקה"", ""גוונים"", ""צבע"", ""תספורת""]",false
804790549,PhoneBookSecretary,804790549,[],0558284250,,,true
972350803,PhoneBookSecretary,972350803,[],0558291719,,,true
900261801,AnnouncementsSecretary,900261801,[],0575502159,,,false
952484274,appointmentsDentist,952484274,"[{""day"":""Monday"",""hours"":[{""startHour"":""10:59"",""endHour"":""20:13""},{""startHour"":""8:58"",""endHour"":""12:30""}]},{""day"":""Monday"",""hours"":[{""startHour"":""5:27"",""endHour"":""13:10""},{""startHour"":""5:38"",""endHour"":""15:15""}]}]",0540854390,Fault,"[""טיפול שורש"", ""יישור שיניים"", ""שיננית"", ""עקירה""]",true
990927574,appointmentsDentist,990927574,"[{""day"":""Sunday"",""hours"":[{""startHour"":""3:45"",""endHour"":""23:49""},{""startHour"":""11:43"",""endHour"":""12:35""}]},{""day"":""Saturday"",""hours"":[{""startHour"":""6:03"",""endHour"":""12:32""},{""startHour"":""10:59"",""endHour"":""15:54""}]}]",0594328989,Slots,"[""שיננית"", ""יישור שיניים"", ""עקירה"", ""ניקוי""]",true
767592302,appointmentsDentist,767592302,"[{""day"":""Wednesday"",""hours"":[{""startHour"":""7:30"",""endHour"":""14:10""},{""startHour"":""9:05"",""endHour"":""20:07""}]}]",0563902987,,"[""ניקוי"", ""טיפול שורש"", ""שיננית"", ""יישור שיניים""]",true
824722032,PhoneBookSecretary,824722032,[],0520536438,,,false
997674091,PhoneBookSecretary,997674091,[],0560204642,,,false
650304743,appointmentsDentist,650304743,"[{""day"":""Saturday"",""hours"":[{""startHour"":""6:16"",""endHour"":""16:08""},{""startHour"":""1:33"",""endHour"":""15:30""}]}]",0580509397,,"[""טיפול שורש"", ""ניקוי"", ""יישור שיניים"", ""עקירה""]",true
837235000,AnnouncementsSecretary,837235000,[],0579871155,,,false
981198949,ChoresSecretary,981198949,[],0553080592,,,false
081728433,appointmentsHairDresser,081728433,"[{""day"":"""",""hours"":[{""startHour"":""9:44"",""endHour"":""22:17""},{""startHour"":""10:32"",""endHour"":""22:57""}]}]",0573083677,Fault,"[""תספורת"", ""החלקה"", ""פן"", ""גוונים""]",true
