appointmentId,clientId,role,serviceProviderId,subject
1,233021379,appointmentsHairDresser,832513448,"[""פן"", ""צבע"", ""החלקה"", ""גוונים""]"
2,863966014,appointmentsHairDresser,087458946,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
3,388351501,appointmentsHairDresser,525391059,"[""גוונים"", ""צבע"", ""החלקה"", ""פן""]"
4,921263865,appointmentsHairDresser,303017057,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
5,940975054,appointmentsHairDresser,231885469,"[""תספורת"", ""פן"", ""החלקה"", ""צבע""]"
6,293970060,appointmentsDentist,329445822,"[""עקירה"", ""ניקוי"", ""טיפול שורש"", ""יישור שיניים""]"
7,920915024,appointmentsDentist,443108577,"[""עקירה"", ""טיפול שורש"", ""יישור שיניים"", ""שיננית""]"
8,563111540,appointmentsHairDresser,311406006,"[""צבע"", ""החלקה"", ""פן"", ""תספורת""]"
9,377340982,appointmentsDentist,915997193,"[""עקירה"", ""שיננית"", ""טיפול שורש"", ""ניקוי""]"
10,706567925,appointmentsHairDresser,277894686,"[""צבע"", ""תספורת"", ""גוונים"", ""החלקה""]"
11,291876771,appointmentsHairDresser,958442098,"[""גוונים"", ""תספורת"", ""החלקה"", ""פן""]"
12,075717905,appointmentsHairDresser,885126211,"[""פן"", ""גוונים"", ""תספורת"", ""צבע""]"
13,673008391,appointmentsHairDresser,279292347,"[""גוונים"", ""תספורת"", ""החלקה"", ""צבע""]"
14,760924784,appointmentsHairDresser,028905619,"[""צבע"", ""החלקה"", ""פן"", ""תספורת""]"
15,681378872,appointmentsDentist,341301511,"[""טיפול שורש"", ""עקירה"", ""שיננית"", ""יישור שיניים""]"
16,052957237,appointmentsHairDresser,678936616,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
17,018760464,appointmentsHairDresser,406660923,"[""גוונים"", ""תספורת"", ""צבע"", ""פן""]"
18,164598040,appointmentsHairDresser,677474238,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
19,894594679,appointmentsHairDresser,064380420,"[""גוונים"", ""פן"", ""החלקה"", ""תספורת""]"
20,034998466,appointmentsHairDresser,885126211,"[""פן"", ""גוונים"", ""תספורת"", ""צבע""]"
21,291876771,appointmentsDentist,795376926,"[""טיפול שורש"", ""עקירה"", ""שיננית"", ""יישור שיניים""]"
22,654074593,appointmentsDentist,423866375,"[""עקירה"", ""שיננית"", ""ניקוי"", ""יישור שיניים""]"
23,799114607,appointmentsHairDresser,376475185,"[""צבע"", ""פן"", ""גוונים"", ""החלקה""]"
24,497245534,appointmentsDentist,585209142,"[""יישור שיניים"", ""עקירה"", ""ניקוי"", ""טיפול שורש""]"
25,061713539,appointmentsDentist,267008970,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]"
26,294866175,appointmentsHairDresser,754100540,"[""תספורת"", ""פן"", ""צבע"", ""החלקה""]"
27,092445625,appointmentsHairDresser,848519781,"[""צבע"", ""גוונים"", ""תספורת"", ""החלקה""]"
28,871301848,appointmentsDentist,505110252,"[""שיננית"", ""יישור שיניים"", ""טיפול שורש"", ""ניקוי""]"
29,440494554,appointmentsHairDresser,833651313,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
30,341301511,appointmentsHairDresser,082532921,"[""פן"", ""גוונים"", ""החלקה"", ""צבע""]"
31,891476972,appointmentsHairDresser,518443215,"[""תספורת"", ""גוונים"", ""החלקה"", ""פן""]"
32,659177074,appointmentsHairDresser,704023361,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]"
33,385816548,appointmentsHairDresser,560321102,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]"
34,055867917,appointmentsHairDresser,549963652,"[""החלקה"", ""גוונים"", ""צבע"", ""תספורת""]"
35,733017154,appointmentsDentist,560176995,"[""שיננית"", ""טיפול שורש"", ""ניקוי"", ""יישור שיניים""]"
36,350652952,appointmentsHairDresser,565083593,"[""תספורת"", ""צבע"", ""החלקה"", ""גוונים""]"
37,231885469,appointmentsHairDresser,906075728,"[""צבע"", ""החלקה"", ""גוונים"", ""פן""]"
38,862341815,appointmentsHairDresser,906075728,"[""צבע"", ""החלקה"", ""גוונים"", ""פן""]"
39,798486511,appointmentsDentist,187206917,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
40,862761099,appointmentsHairDresser,203895641,"[""פן"", ""תספורת"", ""גוונים"", ""החלקה""]"
41,539415861,appointmentsHairDresser,162631453,"[""תספורת"", ""גוונים"", ""החלקה"", ""צבע""]"
42,894017438,appointmentsHairDresser,543709257,"[""צבע"", ""תספורת"", ""החלקה"", ""גוונים""]"
43,076356897,appointmentsDentist,002675952,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""עקירה""]"
44,436759840,appointmentsDentist,443108577,"[""עקירה"", ""טיפול שורש"", ""יישור שיניים"", ""שיננית""]"
45,621775433,appointmentsHairDresser,203895641,"[""פן"", ""תספורת"", ""גוונים"", ""החלקה""]"
46,337248976,appointmentsHairDresser,500655545,"[""החלקה"", ""פן"", ""צבע"", ""גוונים""]"
47,047616626,appointmentsHairDresser,117402902,"[""פן"", ""צבע"", ""תספורת"", ""החלקה""]"
48,608266886,appointmentsDentist,013538751,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
49,021530909,appointmentsHairDresser,162631453,"[""תספורת"", ""גוונים"", ""החלקה"", ""צבע""]"
50,422345289,appointmentsHairDresser,590552161,"[""החלקה"", ""צבע"", ""תספורת"", ""פן""]"
51,801892732,appointmentsDentist,418110517,"[""שיננית"", ""עקירה"", ""יישור שיניים"", ""טיפול שורש""]"
52,892435077,appointmentsHairDresser,516169863,"[""צבע"", ""פן"", ""תספורת"", ""החלקה""]"
53,423203338,appointmentsHairDresser,162631453,"[""תספורת"", ""גוונים"", ""החלקה"", ""צבע""]"
54,074040626,appointmentsHairDresser,560321102,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]"
55,006308332,appointmentsDentist,825553521,"[""עקירה"", ""טיפול שורש"", ""ניקוי"", ""יישור שיניים""]"
56,765888198,appointmentsDentist,528822171,"[""שיננית"", ""ניקוי"", ""עקירה"", ""יישור שיניים""]"
