choreTypeName,serviceProviderId,days,numberOfWorkers,frequency,startTime,endTime,color
בישול שבת,584132402,שישי,12,150,3:11,16:34,Goldenrod
בישול שישי,081399454,שלישי,10,943,9:19,17:29,Orange
בקר,092445625,שישי,4,200,6:17,22:19,Orange
מפעל,560243495,רביעי,4,86,8:32,17:50,Mauv
שטיפה,781218030,שני,13,617,3:13,20:47,Blue
שמירה,053594577,רביעי,6,761,0:20,12:58,Red
תרבות,982922623,ראשון,16,280,6:31,12:38,Green
חדא שבת 9,585935374,"חמישי",17,881,0:09,18:51,Puce
חדא שבת 10,419271646,שלישי,19,161,3:58,19:38,Crimson
חדא אמצש,064380420,שבת,12,168,1:06,14:27,Orange
