userChoreId,userId,choreTypeName,date,originDate,isMark
1,365772324,חדא אמצש,2020-05-12 00:00:16,2019-07-17 21:29:20,true
2,991561756,שמירה,2018-05-20 20:20:50,2020-01-20 21:13:36,false
3,804629917,תרבות,2019-08-31 08:47:52,2019-08-10 11:06:10,true
4,074040626,חדא אמצש,2019-11-16 09:00:40,2018-12-30 06:29:16,false
5,200065857,בישול שבת,2019-08-13 00:45:05,2020-01-12 01:05:43,true
6,560176995,שמירה,2018-12-16 23:04:19,2019-02-13 20:06:20,false
7,339805031,חדא אמצש,2018-05-21 17:10:54,2018-09-27 21:51:34,false
8,702624878,שמירה,2019-06-07 23:50:04,2019-07-16 14:48:20,true
9,281912123,חדא אמצש,2019-08-14 02:45:24,2020-02-11 15:20:18,true
10,252545859,תרבות,2019-12-30 04:36:38,2019-07-01 02:14:44,true
11,421942009,תרבות,2018-06-13 23:21:34,2018-11-27 15:07:22,false
12,900261801,שטיפה,2019-04-26 09:17:55,2019-02-11 09:59:03,false
13,377340982,חדא אמצש,2019-09-03 18:22:11,2019-06-11 15:43:11,true
14,231268851,חדא אמצש,2018-12-09 00:03:39,2018-08-18 02:32:30,false
15,863966014,שטיפה,2018-11-24 07:52:15,2020-04-12 14:07:50,false
16,229971094,חדא אמצש,2019-06-15 21:02:52,2020-03-26 09:56:15,true
17,600385201,שטיפה,2019-06-24 13:43:41,2019-11-10 22:16:26,false
18,635310198,תרבות,2019-08-03 00:20:16,2019-05-02 05:42:43,false
19,774350597,בקר,2019-03-15 04:30:55,2019-03-15 23:32:02,false
20,240390677,בישול שבת,2018-10-26 09:26:51,2020-04-26 16:03:18,false
21,002070472,בישול שבת,2019-04-16 03:39:30,2018-10-20 21:27:30,false
22,477660204,חדא אמצש,2020-02-13 08:08:41,2019-10-31 00:29:28,false
23,215922586,שטיפה,2019-03-25 10:45:29,2019-01-23 01:49:26,false
24,087458946,חדא אמצש,2019-04-21 02:00:53,2019-12-02 12:54:50,false
25,999809245,תרבות,2019-10-11 03:57:24,2018-05-29 07:10:07,false
26,611721739,חדא אמצש,2018-12-05 01:24:14,2018-10-06 23:53:58,false
27,326031543,שמירה,2018-12-31 03:52:48,2019-11-12 21:41:36,false
28,786639294,שטיפה,2019-07-19 06:14:25,2019-10-01 04:36:35,false
29,896433155,תרבות,2018-12-17 04:46:33,2018-06-01 05:11:31,false
30,845902065,שטיפה,2020-05-03 13:38:29,2019-07-21 07:36:27,true
31,221242652,תרבות,2018-10-26 20:16:28,2020-04-17 21:18:15,false
32,435786324,חדא אמצש,2018-11-11 01:38:11,2019-09-09 22:03:43,false
33,403255844,שמירה,2018-06-03 09:23:09,2020-02-02 06:16:44,false
34,935485554,בישול שבת,2018-10-27 15:21:41,2018-08-21 00:35:53,false
35,733017154,חדא אמצש,2019-05-15 23:57:47,2018-12-11 10:18:35,false
36,018161780,תרבות,2019-08-31 12:11:42,2018-08-21 01:30:54,false
37,500655545,תרבות,2018-09-07 08:27:58,2019-06-02 23:00:23,false
38,829003854,חדא אמצש,2020-02-03 22:13:13,2018-05-19 15:35:12,false
39,541487641,בקר,2020-01-06 09:53:10,2020-02-29 00:02:23,false
40,565772044,תרבות,2018-06-19 23:07:31,2020-01-17 19:57:46,false
41,240390677,בקר,2018-12-01 11:45:55,2019-08-28 15:31:50,false
42,497245534,חדא אמצש,2020-03-16 04:34:18,2019-12-01 06:16:20,true
43,848402531,חדא אמצש,2019-08-10 20:55:34,2018-10-03 16:03:08,false
44,187612268,תרבות,2020-03-04 14:14:40,2018-06-20 20:42:40,false
45,062351869,חדא אמצש,2020-01-11 01:17:52,2019-12-08 11:31:56,true
46,240390677,חדא אמצש,2018-12-10 07:57:09,2019-10-25 15:58:53,false
47,337529867,חדא אמצש,2020-03-11 15:37:56,2019-05-04 18:35:56,false
48,397499061,בישול שבת,2018-09-14 00:15:27,2019-12-20 11:17:46,false
49,898191608,שטיפה,2019-09-25 00:39:51,2019-05-03 01:01:00,false
50,657101496,שטיפה,2019-11-24 17:21:55,2018-06-30 23:52:26,false
51,597754353,שטיפה,2018-10-30 03:58:33,2018-12-24 10:17:53,false
52,062395479,שמירה,2019-04-12 21:13:17,2018-08-13 09:52:38,false
53,966042854,חדא אמצש,2019-10-28 15:44:59,2018-10-03 19:16:11,false
54,281741752,תרבות,2019-07-10 00:23:03,2019-03-22 11:20:36,false
55,561933550,שטיפה,2019-10-25 14:54:50,2019-01-05 20:13:31,false
56,611721739,בישול שבת,2019-11-05 20:52:11,2019-12-25 16:55:07,false
57,885731447,חדא אמצש,2018-12-19 23:19:59,2018-09-14 14:11:46,false
58,185891412,חדא אמצש,2018-07-06 04:04:11,2019-04-01 20:28:23,false
59,943555442,שמירה,2019-06-05 04:01:40,2018-07-03 15:32:01,false
60,702645412,שטיפה,2019-12-24 20:50:01,2018-06-09 08:34:59,false
61,231885469,חדא אמצש,2019-02-04 16:48:04,2018-11-29 06:37:41,false
62,934444007,חדא אמצש,2019-06-20 01:47:50,2019-09-05 20:26:03,false
63,427671993,שטיפה,2019-10-31 00:51:59,2018-07-07 04:15:11,false
64,543709257,שטיפה,2019-06-25 04:08:06,2020-01-28 01:32:25,false
65,873224266,תרבות,2018-10-12 08:50:30,2018-07-29 22:29:17,false
66,328670390,חדא אמצש,2020-02-06 22:44:37,2019-11-17 22:26:07,true
67,525837449,שטיפה,2018-10-23 12:05:59,2018-11-28 07:54:25,false
68,277894686,שטיפה,2019-10-30 09:50:10,2019-05-05 17:01:45,false
69,642466894,שמירה,2019-12-16 08:18:24,2019-07-19 12:50:59,true
70,326031543,תרבות,2018-12-14 06:45:35,2019-11-05 14:18:07,false
71,082000655,תרבות,2019-03-09 12:31:05,2018-12-16 23:13:45,false
72,031734064,שטיפה,2019-03-31 21:53:49,2018-08-03 17:11:38,false
73,799114607,חדא אמצש,2020-01-31 18:54:45,2018-10-10 21:54:12,false
74,133047101,שטיפה,2020-03-13 08:02:26,2020-04-04 19:15:44,false
75,990690836,חדא אמצש,2019-07-23 20:06:42,2018-08-08 06:40:03,false
76,259780194,שמירה,2019-10-27 18:43:47,2020-02-02 01:36:41,false
77,226601535,שטיפה,2019-12-29 15:10:00,2019-06-22 19:51:00,false
78,884065511,שמירה,2020-03-11 21:13:44,2020-01-01 13:33:05,false
79,922733899,בישול שבת,2018-09-14 21:24:54,2019-06-29 13:36:21,false
80,555725487,תרבות,2019-01-28 07:53:49,2019-08-05 23:18:26,false
81,943555442,תרבות,2020-03-06 11:42:33,2020-01-26 07:54:18,true
82,656087802,חדא אמצש,2019-04-21 18:28:40,2019-07-01 14:09:05,false
